id,fraude,nome,sobrenome,email,cpf,telefone,rua,bairro,cidade,estado,cep,data_de_nascimento,produto,restringido,bloqueado,user_agent,imei,ip,busca_email_nome,busca_email_sobrenome,busca_email_ip,busca_email_telefone,busca_email_endereco,busca_ip_telefone,busca_ip_nome,busca_telefone_nome
30,True,João,Novaes,novaes@globo.com,06741982558,5511997592945,Rua Doralice Ramos Pinho,Jardim Cidade de Florianópolis,São José,SC,88111310,2008-10-23,Disney +,False,False,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/534.3.3 (KHTML, like Gecko) Version/4.0.3 Safari/534.3.3",551199759294567,140.53.161.143,51,15,51,53,28,38,33,26
31,False,Igor,Costela,costela@rocha.com,43925678182,5584962591182,,,,,,1997-08-12,Globoplay + canais ao vivo e Telecine,False,True,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/532.42.5 (KHTML, like Gecko) Version/5.0 Safari/532.42.5",558496259118293,60.185.140.91,52,78,47,46,60,89,63,82
32,False,Fernanda,Cardoso,fernanda.cardoso@bol.com,51270849379,5521969597568,Rua São Paulo - de 1321/1322 a 2229/2230,Centro,Campo Mourão,PR,87303140,2003-12-02,Disney +,False,False,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.0),552196959756840,221.62.37.153,87,53,97,58,53,89,83,57
33,True,Theo,Cardoso,kamilly94@example.net,61509724370,,Rua Sílvio Gonçalves de Almeida,Vila Aparecida,Capão Bonito,SP,18303080,1981-12-19,Globoplay e discovery +,False,False,Opera/8.92.(Windows 98; ber-MA) Presto/2.9.185 Version/11.00,555199762074358,176.111.202.228,21,56,57,43,22,52,53,18
34,False,Elisa,Castro,elisa.castro@outlook.com,28916547300,5581902840065,Conjunto Chácara do Cabula,Cabula,Salvador,BA,41150030,1963-01-02,Cartola PRO,False,False,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/3.1),558190284006587,125.151.168.167,70,62,69,58,57,90,79,81
35,True,Levi,da Cruz,vitoralves@example.org,09146752307,,,,,,,2008-05-25,Globoplay e Disney +,False,False,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/5.1),551196220058043,104.16.80.131,46,43,40,55,58,21,48,30
36,False,Danilo,Costela,danilo.costela@yahoo.com,61427905894,5571963763637,Rua Ilha do Paraíso,CEASA,Salvador,BA,41400268,1986-08-04,Globoplay e discovery +,False,False,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; mi-NZ) AppleWebKit/531.10.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6531.10.6",557196376363779,109.37.38.212,71,54,98,64,58,43,40,72
37,True,Miguel,Santos,discovery.santos@globo.com,46029378104,5561978034295,Travessa Lauro de Freitas,Jardim Oratório,Mauá,SP,09381055,1983-08-09,discovery +,False,False,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/22.0.826.0 Safari/535.1",553192914275058,141.82.188.111,25,44,49,35,6,38,49,37
38,False,Melissa,Melo,melissa.melo@hotmail.com,,,Rua Wagih Assad Abdalla,Morumbi,São Paulo,SP,05651020,1960-05-02,Globoplay e Disney +,False,False,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_1 rv:2.0; tt-RU) AppleWebKit/531.45.7 (KHTML, like Gecko) Version/4.0.5 Safari/531.45.7",556198582684361,198.165.204.36,70,93,59,52,76,68,83,43
39,False,Enrico,Porto,enrico.porto@hotmail.com,86375920400,,,,,,,1998-06-11,Globoplay + canais ao vivo e Telecine,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/52.0.813.0 Safari/536.2",554192881820299,156.56.187.152,90,68,45,50,70,44,86,72
40,False,Daniel,Rocha,daniel.rocha@gmail.com,02396748556,5551973142512,Rua Evandro de Castro Lima,Recreio dos Bandeirantes,Rio de Janeiro,RJ,22795235,1966-08-21,Disney +,False,True,Mozilla/5.0 (Android 8.1.0; Mobile; rv:50.0) Gecko/50.0 Firefox/50.0,555197314251292,186.250.58.111,41,72,49,43,94,56,95,65
41,False,Sofia,Gomes,sofia.gomes@outlook.com,69743812555,5581925325731,Rua Marta de Souza Renha,Parque Santa Marta,Duque de Caxias,RJ,25085190,1981-05-27,Globoplay + canais ao vivo,False,False,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/39.0.811.0 Safari/531.1",558192532573145,215.113.235.248,84,61,75,63,43,69,90,44
42,False,Francisco,Correia,correia@globo.com,67031982502,5584996182336,,,,,,1982-12-15,Giga Gloob,False,False,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/6583-06-22 08:43:54 Firefox/5.0,558499618233613,55.132.144.151,63,77,72,70,78,58,61,55
43,False,Samuel,Rocha,samuel.rocha@yahoo.com,,,,,,,,1980-05-29,Globoplay + canais ao vivo e Telecine,False,False,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/33.0.823.0 Mobile/50Y592 Safari/531.0",551198673634700,200.192.27.254,49,68,87,82,40,87,83,99
44,False,Evelyn,Pinto,evelyn.pinto@outlook.com,,5511937958300,,,,,,2006-06-24,Giga Gloob,False,False,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/17.2l6783.0 Mobile/71Y231 Safari/536.1",551193795830013,217.42.32.125,43,85,70,57,58,40,48,87
45,False,Cauê,Cardoso,cau.cardoso@globo.com,98513204633,5571995410390,,,,,,1986-01-16,discovery +,False,False,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.15.7 (KHTML, like Gecko) Version/5.0.1 Safari/533.15.7",557199541039035,170.224.204.21,77,80,87,87,43,96,45,76
46,True,Ana Júlia,Cunha,bernardofogaca@example.com,,5571915459388,Rua Comerciante Severino Barbosa de Souza,Ernani Sátiro,João Pessoa,PB,58080820,2001-09-29,Globoplay + canais ao vivo e Disney +,False,False,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_3) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/38.0.825.0 Safari/533.2",557191545938874,172.76.182.155,47,4,2,1,9,30,47,0
47,False,Gabriela,da Paz,gabriela.dapaz@outlook.com,,5584901545019,,,,,,1968-05-08,Combate,False,False,Opera/9.96.(X11; Linux x86_64; ff-SN) Presto/2.9.167 Version/12.00,558490154501919,154.47.239.223,46,99,63,83,63,94,61,57
48,False,Maria,Gomes,maria.gomes@globo.com,40632917580,5521955840382,Rua Miguel de Frias,Estácio,Rio de Janeiro,RJ,20211190,2008-03-13,Globoplay + canais ao vivo e Premiere,False,False,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/3.0),552195584038293,222.92.170.108,48,50,73,67,88,50,68,46
49,False,Mariane,Rocha,mariane.rocha@globo.com,61372598464,5521941227058,Rua A Cedae,Campo Grande,Rio de Janeiro,RJ,23082340,1971-03-06,Globoplay + canais ao vivo e Disney +,False,False,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.0),552194122705810,196.59.193.109,52,98,41,94,43,80,61,88
50,False,Otávio,da Conceição,daconceio@bol.com,38465097283,5531936238292,,,,,,1974-06-17,Globoplay e Premiere,False,False,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ak-GH) AppleWebKit/534.7.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6534.7.2",553193623829250,152.211.105.4,89,57,59,44,45,48,80,89
51,False,Davi Lucas,da Cruz,davilucas.dacruz@gmail.com,25896470347,,,,,,,2001-05-30,Cartola PRO,False,False,Opera/9.54.(Windows NT 5.1; dv-MV) Presto/2.9.186 Version/11.00,558193729840974,163.49.151.142,44,76,50,95,92,71,94,92
52,False,Luiza,Nascimento,luiza.nascimento@gmail.com,98726351021,,Rua Doutor Rui Neiva,Jardim Novo Mundo,Goiânia,GO,74710261,1991-03-22,Globoplay e Starzplay,False,False,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/55.0.846.0 Safari/532.2",554193634828274,216.57.70.254,90,67,90,91,67,58,78,71
53,False,Isis,Pinto,pinto@bol.com,72645103952,,Beco C (R Curupaiti),Cristal,Porto Alegre,RS,90820095,1994-03-11,Globoplay e Premiere,False,False,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0),558494536352256,212.86.104.8,62,73,74,86,76,45,59,65
54,False,Maysa,Caldeira,maysa.caldeira@globo.com,18475369057,,Rua 24,Jardim Brasília Sul,Luziânia,GO,72823240,2006-09-13,Globoplay + canais ao vivo,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/63.0.814.0 Safari/535.0",555197795417297,196.129.111.231,96,93,98,49,72,87,73,76
55,True,Pedro Lucas,Cunha,da-rochaalicia@example.org,07241569334,,Rua Frei Gaspar,Penha,Rio de Janeiro,RJ,21070330,1987-06-08,Globoplay e Disney +,False,True,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/34.0.800.0 Safari/535.0",553197397954806,141.139.105.80,57,27,50,7,50,11,5,31
56,False,Davi Lucca,Lopes,davilucca.lopes@hotmail.com,85201964389,,,,,,,1998-06-20,Globoplay e Disney +,False,False,Opera/8.74.(Windows NT 6.0; ko-KR) Presto/2.9.176 Version/11.00,558497868132600,216.144.70.221,65,84,89,42,77,62,64,45
57,False,Breno,Nogueira,breno.nogueira@gmail.com,80194267369,,Rua Macaco Prego,Recreio da Borda do Campo,Santo André,SP,09134220,2011-06-11,,False,True,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/8371-10-20 12:13:38 Firefox/3.6.12,554199171569320,158.235.200.19,61,47,53,60,53,79,44,66
58,True,Luiz Gustavo,Duarte,lais25@example.org,19875324655,5531948289177,,,,,,1984-02-01,Globoplay,False,False,"Mozilla/5.0 (Linux; Android 3.2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/23.0.897.0 Safari/531.0",553194828917791,168.88.43.216,8,1,12,1,57,59,43,53
59,False,Pedro Henrique,Vieira,pedrohenrique.vieira@hotmail.com,91306524806,,,,,,,1978-11-24,Globoplay + canais ao vivo e Telecine,False,False,Mozilla/5.0 (Android 5.0.1; Mobile; rv:5.0) Gecko/5.0 Firefox/5.0,554191118098570,214.84.172.159,85,60,70,75,71,74,69,87
60,False,Esther,Barbosa,esther.barbosa@yahoo.com,45912730832,,Rua São Tomé,Jardim Monte Santo,Almirante Tamandaré,PR,83501370,1995-03-05,,False,False,Opera/8.43.(Windows NT 5.01; hy-AM) Presto/2.9.184 Version/10.00,558195734315751,134.23.219.124,49,90,92,60,69,72,55,46
61,False,Ana Laura,Martins,martins@globo.com,47613850226,,Rua A,Vila da Noite,Guarujá,SP,11435500,2010-12-30,Globoplay + canais ao vivo e Premiere,False,False,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_8) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/21.0.877.0 Safari/532.0",556196682892041,222.238.25.81,45,68,77,56,75,79,59,72
62,False,Maria Eduarda,Ribeiro,mariaeduarda.ribeiro@outlook.com,79142538637,5511937383023,Rua Mariápolis (Lot N Cidade),Sítio dos Vianas,Santo André,SP,09169185,1993-10-10,Starzplay,False,False,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.15.7 (KHTML, like Gecko) Version/5.0 Safari/531.15.7",551193738302302,211.251.202.216,48,46,75,85,52,92,97,93
63,True,João,Gonçalves,globoplayediscovery.gonalves@outlook.com,75241638008,,,,,,,1990-01-15,Globoplay e discovery +,False,False,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/7873-12-31 00:50:17 Firefox/3.8,551192714283965,1.71.81.214,50,9,15,24,8,3,2,23
64,False,Daniel,Cavalcanti,daniel.cavalcanti@gmail.com,05827349160,,Rua Oliveira Junqueira,Marechal Hermes,Rio de Janeiro,RJ,21331170,2000-04-28,Globoplay,False,False,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/13.8o6341.0 Mobile/88U259 Safari/534.2",558199496012721,210.218.73.76,59,74,62,59,72,92,50,60
65,False,Laís,Pereira,las.pereira@gmail.com,,5531904164377,,,,,,2004-09-29,Giga Gloob,True,False,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0),553190416437796,96.223.199.223,47,85,48,57,66,60,75,81
66,False,Rafael,Oliveira,rafael.oliveira@yahoo.com,18790532686,,,,,,,1988-09-15,Globoplay e Starzplay,False,False,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/4.1),558192566659125,113.139.202.162,73,46,70,92,45,42,62,73
67,False,Emanuella,Costa,emanuella.costa@bol.com,74236085992,,,,,,,1997-01-26,Globoplay e Disney +,False,False,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.1),551191557335973,185.255.192.50,44,98,59,75,79,60,55,85
68,False,Olivia,Caldeira,caldeira@globo.com,01829374613,5531974279086,Rua Rio Finex,Célio Miranda,Paragominas,PA,68625045,1972-09-11,Globoplay + canais ao vivo e Disney +,False,False,"Mozilla/5.0 (Linux; Android 2.3) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/27.0.859.0 Safari/535.1",553197427908608,122.241.179.110,50,41,67,96,58,76,76,63
69,False,Laís,Gomes,las.gomes@hotmail.com,79501486320,,Praça Maria Tereza Braga dos Santos (Ipiranga),Cidade Nova,Pindamonhangaba,SP,12414330,2001-09-29,Premiere,False,False,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/39.0.857.0 Safari/534.0",554196958207629,57.234.168.26,60,42,77,77,48,82,62,40
70,False,Miguel,Rodrigues,miguel.rodrigues@gmail.com,47523918050,,Rua Funilândia - até 1000/1001,Nossa Senhora da Conceição,Paulista,PE,53429680,1981-02-13,Globoplay e Telecine,False,False,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/9.2f0866.0 Mobile/11H290 Safari/532.1",557194726669912,156.55.39.33,92,83,60,52,56,45,67,52
71,False,Luiz Otávio,Melo,luizotvio.melo@gmail.com,,5551937483616,,,,,,2000-06-01,Globoplay + canais ao vivo e Premiere,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/18.0.814.0 Safari/535.0",555193748361641,41.249.46.249,84,71,66,81,81,51,42,57
72,False,Natália,Pereira,natlia.pereira@yahoo.com,43179825600,5521965858986,Rua Cumarú,Vigia,Santarém,PA,68049100,1960-07-17,,True,False,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/3.0),552196585898669,176.171.191.218,74,67,74,59,97,83,55,98
73,False,Enzo,Rodrigues,enzo.rodrigues@hotmail.com,72481053680,,,,,,,1997-12-04,,False,True,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.1),555192025531850,15.26.86.173,87,83,84,47,54,44,78,72
74,False,Esther,Fogaça,esther.fogaa@yahoo.com,81239405723,5521956043245,Rua Anália Alves da Silveira (Lot Arco-Íris),km-2,Petrolina,PE,56306840,1960-05-09,,True,False,Mozilla/5.0 (Android 4.0.3; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0,552195604324541,201.8.63.182,64,91,88,73,66,89,40,58
75,False,Vitor Hugo,Pires,vitorhugo.pires@globo.com,86547391000,5511942124264,,,,,,1977-03-06,Starzplay,False,False,Opera/9.14.(X11; Linux i686; pt-BR) Presto/2.9.173 Version/11.00,551194212426492,184.57.106.251,43,92,72,41,71,62,67,66
76,False,Augusto,Peixoto,augusto.peixoto@yahoo.com,87264095185,5511976858787,Rua Maracanã,Parque Lago,Formosa,GO,73813798,1971-04-01,Globoplay e Disney +,False,False,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/16.4j6891.0 Mobile/58Q305 Safari/533.1",551197685878750,134.59.178.51,84,97,69,73,65,57,54,52
77,False,Gabriel,Ferreira,gabriel.ferreira@globo.com,45260391870,5581950511914,1ª Travessa dos Namorados (Cj Muribeca),Muribeca,Jaboatão dos Guararapes,PE,54350416,1993-02-03,Globoplay + canais ao vivo,False,False,Opera/9.90.(X11; Linux x86_64; el-CY) Presto/2.9.185 Version/10.00,558195051191496,116.68.221.131,99,86,54,43,81,45,51,51
78,False,Sophia,da Mota,damota@yahoo.com,25371069895,,,,,,,1971-02-07,Globoplay + canais ao vivo,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/53.0.823.0 Safari/531.1",558195547532782,84.59.45.239,61,45,46,69,59,56,97,98
